
-------------- “¿¡À»÷¿ À≈ —≈Ã  -------------------- ƒ‡Ú‡: 20.12.2018 16:52:09 ------------ 

|  π | ÀÂÍÒÂÏ‡ | —ÚÓÍ‡  | »Ì‰ÂÍÒ ‚ “» |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    ,    |     1   |             |
|  7 |    t    |     1   |             |
|  8 |    i    |     1   |       2     |
|  9 |    )    |     1   |             |
| 10 |    [    |     1   |             |
| 11 |    n    |     2   |             |
| 12 |    t    |     2   |             |
| 13 |    i    |     2   |       3     |
| 14 |    ;    |     2   |             |
| 15 |    i    |     3   |       3     |
| 16 |    =    |     3   |             |
| 17 |    i    |     3   |       2     |
| 18 |    i    |     3   |       1     |
| 19 |    i    |     3   |       2     |
| 20 |    +    |     3   |             |
| 21 |    l    |     3   |       4     |
| 22 |    *    |     3   |             |
| 23 |    +    |     3   |             |
| 24 |    #    |    -1   |             |
| 25 |    #    |    -1   |             |
| 26 |    ;    |     3   |             |
| 27 |    e    |     4   |             |
| 28 |    i    |     4   |       3     |
| 29 |    ;    |     4   |             |
| 30 |    ]    |     5   |             |
| 31 |    p    |     6   |             |
| 32 |    f    |     6   |             |
| 33 |    i    |     6   |       5     |
| 34 |    (    |     6   |             |
| 35 |    t    |     6   |             |
| 36 |    i    |     6   |       6     |
| 37 |    ,    |     6   |             |
| 38 |    t    |     6   |             |
| 39 |    i    |     6   |       7     |
| 40 |    ,    |     6   |             |
| 41 |    t    |     6   |             |
| 42 |    i    |     6   |       8     |
| 43 |    ,    |     6   |             |
| 44 |    l    |     6   |       4     |
| 45 |    )    |     6   |             |
| 46 |    [    |     6   |             |
| 47 |    n    |     7   |             |
| 48 |    t    |     7   |             |
| 49 |    i    |     7   |       9     |
| 50 |    ;    |     7   |             |
| 51 |    i    |     8   |       9     |
| 52 |    =    |     8   |             |
| 53 |    i    |     8   |      10     |
| 54 |    i    |     8   |       6     |
| 55 |    i    |     8   |       7     |
| 56 |    #    |    -1   |             |
| 57 |    #    |    -1   |             |
| 58 |    #    |    -1   |             |
| 59 |    ;    |     8   |             |
| 60 |    o    |     9   |             |
| 61 |    i    |     9   |       9     |
| 62 |    ;    |     9   |             |
| 63 |    o    |    10   |             |
| 64 |    i    |    10   |       8     |
| 65 |    ;    |    10   |             |
| 66 |    ^    |    11   |             |
| 67 |    ;    |    11   |             |
| 68 |    e    |    12   |             |
| 69 |    ;    |    12   |             |
| 70 |    ]    |    13   |             |
| 71 |    m    |    14   |             |
| 72 |    [    |    14   |             |
| 73 |    n    |    15   |             |
| 74 |    t    |    15   |             |
| 75 |    i    |    15   |      11     |
| 76 |    ;    |    15   |             |
| 77 |    i    |    16   |      11     |
| 78 |    =    |    16   |             |
| 79 |    l    |    16   |      12     |
| 80 |    ;    |    16   |             |
| 81 |    n    |    17   |             |
| 82 |    t    |    17   |             |
| 83 |    i    |    17   |      13     |
| 84 |    ;    |    17   |             |
| 85 |    i    |    18   |      13     |
| 86 |    =    |    18   |             |
| 87 |    i    |    18   |      14     |
| 88 |    i    |    18   |      11     |
| 89 |    #    |    -1   |             |
| 90 |    #    |    -1   |             |
| 91 |    ;    |    18   |             |
| 92 |    o    |    19   |             |
| 93 |    i    |    19   |      13     |
| 94 |    ;    |    19   |             |
| 95 |    n    |    20   |             |
| 96 |    t    |    20   |             |
| 97 |    i    |    20   |      15     |
| 98 |    ;    |    20   |             |
| 99 |    i    |    21   |      15     |
|100 |    =    |    21   |             |
|101 |    l    |    21   |      16     |
|102 |    ;    |    21   |             |
|103 |    n    |    22   |             |
|104 |    t    |    22   |             |
|105 |    i    |    22   |      17     |
|106 |    ;    |    22   |             |
|107 |    i    |    23   |      17     |
|108 |    =    |    23   |             |
|109 |    l    |    23   |      18     |
|110 |    ;    |    23   |             |
|111 |    n    |    25   |             |
|112 |    t    |    25   |             |
|113 |    i    |    25   |      19     |
|114 |    ;    |    25   |             |
|115 |    i    |    26   |      19     |
|116 |    =    |    26   |             |
|117 |    i    |    26   |       0     |
|118 |    i    |    26   |      15     |
|119 |    i    |    26   |      17     |
|120 |    #    |    -1   |             |
|121 |    #    |    -1   |             |
|122 |    #    |    -1   |             |
|123 |    ;    |    26   |             |
|124 |    i    |    28   |       5     |
|125 |    (    |    28   |             |
|126 |    l    |    28   |      20     |
|127 |    ,    |    28   |             |
|128 |    l    |    28   |      21     |
|129 |    ,    |    28   |             |
|130 |    i    |    28   |      19     |
|131 |    )    |    28   |             |
|132 |    ;    |    28   |             |
|133 |    ]    |    29   |             |
